Timestamp,MainIncoming_kW,CHWRT,CWRT,CHWST,CWST,CHW Flow,CDW Flow,heat_in,heat_out,lift,chwdt,cwdt,DemoSite Demo avgHum,DemoSite Demo avgTemp,DemoSite Demo Calculated Wet Bulb
2023-05-31T10:30:00+08:00 Singapore,68.71759236653646kW,11.526258532206217°C,30.59599609375°C,8.803713989257812°C,28.070772298177083°C,37.5149642944336L/s,40.83642069498698L/s,43.39184620767472_RT,84.44926792200222_RT,21.792282104492188Δ°C,2.7225445429484054Δ°C,2.5252237955729164Δ°C,69%RH,30.5°C,25.9032919359754°C
2023-05-31T10:45:00+08:00 Singapore,68.73904062906901kW,11.523512204488119°C,30.771236165364584°C,8.81528828938802°C,28.10929972330729°C,37.49338836669922L/s,40.8713488260905L/s,43.29098660378275_RT,89.14343455860829_RT,21.955947875976562Δ°C,2.708223915100099Δ°C,2.661936442057293Δ°C,68.5%RH,30.75°C,26.05568657295783°C
2023-05-31T11:00:00+08:00 Singapore,70.63552805582682kW,11.479206085205078°C,30.797383626302082°C,8.72681376139323°C,28.162089029947918°C,37.503405253092446L/s,40.82068430582682L/s,43.998399993989686_RT,88.41698332919341_RT,22.070569864908855Δ°C,2.752392323811849Δ°C,2.6352945963541643Δ°C,68%RH,31°C,26.20711834871764°C
2023-05-31T11:15:00+08:00 Singapore,70.31901346842447kW,11.722475624084472°C,30.844492594401043°C,8.799859619140625°C,28.161555989583334°C,37.53345591227214L/s,40.877105967203775L/s,45.934565161579975_RT,90.013720455158_RT,22.04463297526042Δ°C,2.9226160049438477Δ°C,2.6829366048177086Δ°C,67.5%RH,31°C,26.126634646664623°C
2023-05-31T11:30:00+08:00 Singapore,73.95083058675131kW,11.687070973714192°C,31.357893880208334°C,8.793939208984375°C,28.55372517903646°C,37.707984415690106L/s,40.87902552286784L/s,46.64299345047125_RT,95.39125608784865_RT,22.56395467122396Δ°C,2.8931317647298176Δ°C,2.804168701171875Δ°C,67%RH,31°C,26.045958850685395°C
2023-05-31T11:45:00+08:00 Singapore,74.00937856038412kW,11.70107199350993°C,31.599973551432292°C,8.820174153645834°C,28.93196004231771°C,37.69912389119466L/s,40.87979278564453L/s,46.60672992646682_RT,91.9618152964176_RT,22.77979939778646Δ°C,2.8808978398640956Δ°C,2.6680135091145836Δ°C,66.5%RH,31°C,25.965087202090935°C
2023-05-31T12:00:00+08:00 Singapore,73.03351643880208kW,11.614588673909505°C,31.51400349934896°C,8.7916259765625°C,28.897562662760418°C,37.71183725992839L/s,40.84025904337565L/s,45.63772342146337_RT,90.076973867031_RT,22.72237752278646Δ°C,2.8229626973470054Δ°C,2.6164408365885414Δ°C,66%RH,31°C,25.884015867420132°C
2023-05-31T12:15:00+08:00 Singapore,71.8761001586914kW,11.507918548583984°C,31.236187744140626°C,8.766676839192709°C,28.286761474609374°C,37.728404490153L/s,40.799190266927084L/s,44.358053660829334_RT,99.39451685914517_RT,22.469510904947917Δ°C,2.741241709391275Δ°C,2.9494262695312514Δ°C,66%RH,31.25°C,26.113753789538002°C
2023-05-31T12:30:00+08:00 Singapore,71.45215403238932kW,11.537845039367676°C,31.156201171875°C,8.790339152018229°C,28.529150390625°C,37.68717981974284L/s,40.84831899007161L/s,44.38806060967315_RT,89.28920596660733_RT,22.36586201985677Δ°C,2.7475058873494476Δ°C,2.627050781250002Δ°C,66%RH,31.5°C,26.343491575776916°C
2023-05-31T12:45:00+08:00 Singapore,70.68652140299479kW,11.647726249694824°C,30.843463134765624°C,8.813235473632812°C,28.311592610677085°C,37.74882354736328L/s,40.813775634765626L/s,45.1558745028933_RT,85.397950463432_RT,22.030227661132812Δ°C,2.8344907760620117Δ°C,2.5318705240885393Δ°C,66%RH,31.75°C,26.57322922717927°C
